longitude,latitude,type,
116103837,39773455,1,
116103837,39773455,1,
116239923,39854908,4,
116170512,39935012,1,
116499833,39843577,3,
115859967,39590018,4,
116052967,39790782,1,
117206700,40171095,0,
115962917,40463992,0,
116372703,39965540,0,
116345628,40018605,4,
116312512,39895593,4,
116268007,39586037,2,
116321508,40055037,1,
116446297,39796483,2,
116170247,40027262,4,
116712867,40038460,2,
116043400,39737183,1,
116340817,39546193,4,
116100050,39764615,2,
116285683,39813782,2,
116379083,39994735,3,
116353917,39846905,4,
116212278,39950977,1,
116782667,39873352,0,
116749205,40019338,2,
116263147,39715833,4,
116520880,39995198,1,
116369663,39948308,1,
116378198,39938162,0,
116100960,39766307,2,
116149837,39667240,0,
115973360,41596090,3,
115978637,39644958,3,
116384468,39880213,0,
116685155,40321167,3,
115970855,40461293,0,
116388152,39888647,1,
116091170,39910737,2,
116415433,39934563,0,
116130952,39957258,3,
116580990,40076962,0,
116369745,39948763,2,
116118667,39738362,3,
116214508,39843270,3,
116042483,39806328,4,
116058117,39795992,2,
116536745,39937807,0,
116017450,39887558,2,
116325117,40021863,4,
116055822,39929480,0,
116381745,39947547,4,
116040633,39804077,2,
116429700,39903572,4,
116307083,40026793,4,
116298983,39847138,1,
116586298,39738523,1,
116264950,39906370,3,
116633675,39650362,2,
116367980,39992335,0,
116261750,39864785,0,
116114352,39733047,0,
116754917,39836810,4,
116244653,39874403,1,
116361783,39932288,3,
116124802,39648417,0,
116399550,39971145,2,
116373212,39976415,1,
116260997,39904785,0,
116595733,39878337,2,
116034383,39896842,0,
116143133,39731773,2,
116655713,39626665,4,
116325555,39883373,2,
116259742,39862938,1,
116099117,39898390,3,
116405550,39614207,1,
116201967,39886365,3,
116115615,39889797,0,
116584393,40322885,2,
116100233,39964338,2,
116287717,39829263,2,
116832317,40382853,1,
115941812,39655433,3,
116076538,39702018,2,
116834583,40337988,3,
116250067,39873117,1,
116056583,39655967,4,
116230233,40197737,4,
115958567,39815697,3,
116316510,39729883,3,
116570697,39908978,4,
116313067,39630578,4,
116373017,39800357,4,
116577967,40033685,4,
116081450,39945177,0,
116666717,39811035,3,
116319683,39642217,2,
116315900,39971987,2,
116379787,39966682,4,
115872167,39598322,0,
116372967,39969283,0,
116577150,39914985,4,
116057050,39655195,3,
116767200,40401723,1,
116502600,40012858,1,
116272083,39960177,0,
116341725,40060378,2,
116216610,39733032,3,
116278162,40107038,0,
116121292,39683530,1,
116232092,40221205,2,
116425583,39962490,1,
116409483,39947803,1,
116651933,39906040,1,
116358833,39867978,2,
116218583,39996313,0,
116244033,39847388,2,
116059445,39725672,2,
116518848,39886273,3,
116455272,39942178,4,
116539340,39754355,3,
116064080,39937237,0,
116276567,39867082,1,
116441167,39907258,1,
116404800,39906570,3,
116500600,39690068,4,
116052133,39714090,3,
116274832,39892615,1,
116117967,39726712,0,
116242395,39848185,1,
116177333,39932020,0,
116199933,39823157,4,
116119400,39747370,1,
116182167,40086138,1,
116209638,39806047,3,
116165872,39678610,1,
115778612,39535990,3,
